,PAI_id,booking_id,str_id,geom_id,ufi,name,location,local_address,street_address,star_rating,review_score,review_score_text,review_count,amount_per_stay,mean_adr_sar,median_adr_sar,revpar,occupancy_rate,number_of_keys,opened_at,str_class,recently_opened,link,parent_chain,returning_aid_share,mall_visitations_pct,business_park_visitations_pct,footfall_score,footfall_score_domestic,footfall_score_international,ranking,ranking_domestic,ranking_international,volatility,quadrant,distance,has_gym,has_wellness_centre,has_event_halls,has_business_centre,has_restaurant,has_pool
130,143,7001174.0,12290076,7001174,900040280.0,Golden Tulip Riyadh,Riyadh,Al Fudul,"Al Fudul, 13215 Riyadh, Saudi Arabia",4.0,8.8,Fabulous,2372,2020.02,740.4115809523811,696.4416,332.07,44.84993646142091,94.0,2020,Upper Midscale,,https://www.booking.com/hotel/sa/golden-tulip-riyadh.en-gb.html,Golden Tulip,0.1767515923566879,0.4022257551669316,0.06836248012718601,0.04111512938450195,0.04093840149329713,0.03458116501594762,282,278,293,21.73529895372136,High ADR & Low Occupancy,8765.707999999997,1,1,1,1,1,1
132,145,7739522.0,-1,7739522,900040280.0,Anan Hotel,Riyadh,7401 King Fahd Branch Road 7401 طريق الملك فهد الفرعي، الصحافة، الرياض 13321 2256,"7401 King Fahd Branch Road 7401 طريق الملك فهد الفرعي، الصحافة، الرياض 13321 2256, 13321 Riyadh, Saudi Arabia",4.0,7.5,Good,1574,1110.8,706.9448533333334,519.8784,337.8,47.78283837985379,63.0,2022,,,https://www.booking.com/hotel/sa/anan-hotels.en-gb.html,,0.1256281407035176,0.5120481927710843,0.08433734939759036,0.0539306906358625,0.05519260139148142,0.03944938727547423,229,218,265,26.78573773476347,Low ADR & Low Occupancy,9010.479000000005,1,1,1,1,1,1
134,147,2971013.0,11682459,2971013,900040280.0,Braira Al Wezarat,Riyadh,"King Abdulaziz Road, Al Wezarat District","King Abdulaziz Road, Al Wezarat District, 11351 Riyadh, Saudi Arabia",4.0,8.4,Very good,4168,1859.38,592.2730666666669,572.8816,326.14,55.06508468117423,112.0,2016,Upscale,,https://www.booking.com/hotel/sa/braira-al-wezarat.en-gb.html,Boudl Hotels and Resorts,0.2176759410801964,0.25,0.04411764705882353,0.1009444893086619,0.09791277787205159,0.09518213866039953,107,108,107,15.59759329579203,Low ADR & High Occupancy,2970.22,0,1,1,0,0,1
135,148,1700698.0,11680107,1700698,900040280.0,Rosh Rayhaan by Rotana,"Al Olaya, Riyadh",Olaya District,"Olaya District, Al Olaya, 12241 Riyadh, Saudi Arabia",5.0,8.5,Very good,1711,2000.28,767.1315884115886,686.5632,440.53,57.42613239764083,235.0,2016,Upper Upscale,,https://www.booking.com/hotel/sa/rosh-rayhaan-by-rotana.en-gb.html,Rotana Hotel Management Corporation,0.1797994269340974,0.3662374821173104,0.0944206008583691,0.2370001053333801,0.2274308501612082,0.2331710592580158,36,40,31,18.91736066200068,High ADR & High Occupancy,2202.853,1,1,1,1,1,1
141,154,8257262.0,-1,8257262,900040280.0,Hadab Al Sahafa,Riyadh,Wadi Al Magha-HDB-ALMUHID,"Wadi Al Magha-HDB-ALMUHID, 13321 Riyadh, Saudi Arabia",4.0,8.1,Very good,5137,1236.21,749.8243235164837,609.792,247.15,32.96040504600689,127.0,2022,,,https://www.booking.com/hotel/sa/hadab-sahafa.en-gb.html,Hadab Hotels & Resorts,0.1849912739965096,0.3717277486910995,0.04886561954624782,0.03823601699378533,0.03729000509078568,0.03525264394829612,302,302,289,40.01727891884747,Low ADR & Low Occupancy,7072.523000000001,1,1,1,1,1,1
143,156,44684.0,12017431,44684,900040280.0,"Holiday Inn Riyadh Izdihar, an IHG Hotel",Riyadh,"The Northern Ring Road, Between Exit 7 & 8","The Northern Ring Road, Between Exit 7 & 8, 11564 Riyadh, Saudi Arabia",4.0,7.3,Good,1529,1979.34,760.42624,747.7952,527.6,69.38185891425336,289.0,2007,Upper Midscale,,https://www.booking.com/hotel/sa/holiday-inn-riyadh-izdihar.en-gb.html,IHG Hotels & Resorts,0.1824488380159556,0.3580952380952381,0.07186147186147186,0.4483690881640392,0.4344985576107246,0.4243746852442504,10,10,12,14.94197032693229,High ADR & High Occupancy,1091.711,1,1,1,1,1,1
144,157,6357318.0,-1,6357318,900040280.0,Le Park Concord Rabwah Hotel,Riyadh,Fifa Street Al rabwah,"Fifa Street Al rabwah, 11543 Riyadh, Saudi Arabia",4.0,6.9,Average,260,599.8,316.1009185185186,256.7488,235.05,74.36025307271838,18.0,2021,,,https://www.booking.com/hotel/sa/le-park-concord-al-rabwah.en-gb.html,Le Park Concord-Hotels,0.1781914893617021,0.2947368421052631,0.02894736842105263,0.03332045925353744,0.03359918547429153,0.02635554809467853,326,321,337,23.39552146355566,Low ADR & High Occupancy,10389.229,1,1,1,1,1,1
147,160,1348653.0,11740138,1348653,900040280.0,Novotel Suites Riyadh Centre,"Al Olaya, Riyadh","Olaya Street, Olaya District","Olaya Street, Olaya District, Al Olaya, 11361 Riyadh, Saudi Arabia",4.0,7.7,Good,93,1169.61,586.90834,599.6104,312.56,53.25581378266475,88.0,2015,Upscale,,https://www.booking.com/hotel/sa/suite-novotel-riyadh-dyar.en-gb.html,Accor,0.1617647058823529,0.3849167482859941,0.1439764936336925,0.07208314314806362,0.06439843882572543,0.08981030720161155,168,179,120,21.074745605238,Low ADR & Low Occupancy,1413.315,1,1,1,1,1,1
148,161,1587431.0,11638944,1587431,900040280.0,Braira Al Olaya,"Al Olaya, Riyadh","26 Olaya Street, Olaya District","26 Olaya Street, Olaya District, Al Olaya, 11372 Riyadh, Saudi Arabia",4.0,8.4,Very good,3632,2248.25,640.4132727272728,582.8304,361.18,56.39785858523143,122.0,2015,Upper Upscale,,https://www.booking.com/hotel/sa/braira-riyadh.en-gb.html,Boudl Hotels and Resorts,0.2134228187919463,0.3165660630449363,0.06908115358819585,0.1173413854850602,0.1108942813507551,0.1222091656874266,89,96,79,15.9330866011583,Low ADR & High Occupancy,2948.465999999999,1,1,1,1,1,1
149,162,6373169.0,11749930,6373169,900040280.0,Courtyard by Marriott Riyadh Northern Ring Road,Riyadh,"Olaya Street, Al Murooj District, Northern Ring Road, PO Box 4050","Olaya Street, Al Murooj District, Northern Ring Road, PO Box 4050, 11491 Riyadh, Saudi Arabia",4.0,8.2,Very good,1013,2899.04,923.528304761905,945.9104,560.16,60.65413388699523,197.0,2020,Upscale,,https://www.booking.com/hotel/sa/courtyard-riyadh-northern-ring-road.en-gb.html,Marriott International,0.1555153707052441,0.4948764315852923,0.1540084388185654,0.227555212246761,0.232139826913287,0.1693805606849085,39,36,50,22.1724971011179,High ADR & High Occupancy,0.0,1,1,1,1,1,1
